symbol_id,abb_zhname,name,registration,industry,tax_ID,found,listing,abb_enname,website,currency,par_value,description,type,enname
6499,益安,益安生醫股份有限公司,,22.0,54150856,2012-12-22,2016-07-27,Medeon,https://www.medeonbio.com,TWD,10.0,,,
6506,雙邦,(又又)邦實業股份有限公司,,21.0,23531297,1989-11-17,2011-05-03,SBI　　,http://www.shuang-bang.com/index.html,TWD,10.0,,,
6508,惠光,惠光股份有限公司,,33.0,69546202,1965-12-17,2004-03-22,HKC　　,https://www.huikwang.com,TWD,10.0,,,
6509,聚和,聚和國際股份有限公司,,21.0,04243562,1975-02-07,2004-04-12,HOPAX　,https://www.hopax.com,TWD,10.0,,,
6510,精測,中華精測科技股份有限公司,,24.0,27879121,2005-08-26,2016-03-24,CHPT,http://www.chpt.com,TWD,10.0,,,
6512,啟發電,啟發電子股份有限公司,,31.0,28133327,2006-03-28,2016-03-25,GoMax,http://www.gomax-electronics.com.tw/,TWD,10.0,,,
6514,芮特-KY,芮特科技股份有限公司,KY 開曼群島                                                    ,27.0,42332136,2014-08-18,2015-12-02,RTI,https://www.rt-inc.com,TWD,10.0,,,
6516,勤崴國際,勤崴國際科技股份有限公司,,30.0,28835663,2007-12-26,2019-05-06,KINGWAY,https://www.kingwaytek.com,TWD,10.0,,,
6523,達爾膚,達爾膚生醫科技股份有限公司,,22.0,80167706,2003-03-10,2016-06-16,DR.WU,http://www.drwu.com,TWD,10.0,,,
6527,明達醫,明達醫學科技股份有限公司,,22.0,25057697,2009-10-26,2019-12-25,Crystalvue,http://www.crystalvue.com.tw,TWD,10.0,,,
6530,創威,創威光電股份有限公司,,27.0,13067290,2002-04-15,2018-01-23,Axcen,https://www.axcen.com.tw,TWD,10.0,,,
6532,瑞耘,瑞耘科技股份有限公司,,24.0,16394917,1998-03-05,2016-09-26,CT,http://www.calitech.com.tw,TWD,10.0,,,
